correct_preds,total_preds,total_correct,new_F,best_F
0.0,0.0,5939.0,0.0,0.0
0.0,0.0,5939.0,0.0,0.0
0.0,0.0,5939.0,0.0,0.0
0.0,0.0,5939.0,0.0,0.0
0.0,0.0,5939.0,0.0,0.0
0.0,0.0,5939.0,0.0,0.0
350.0,3235.0,5939.0,0.0763025942882058,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
0.0,0.0,5939.0,0.0,0.0763025942882058
