correct_preds,total_preds,total_correct,new_F,best_F
4636.0,5360.0,5634.0,0.8433691104238675,0.8433691104238675
4589.0,5216.0,5634.0,0.8458986175115207,0.8458986175115207
4621.0,5325.0,5634.0,0.8433251209051921,0.8458986175115207
4697.0,5335.0,5634.0,0.8564135290363752,0.8564135290363752
4681.0,5401.0,5634.0,0.8483914816492977,0.8564135290363752
4739.0,5403.0,5634.0,0.8587478481471414,0.8587478481471414
4615.0,5304.0,5634.0,0.8438471384165295,0.8587478481471414
4629.0,5185.0,5634.0,0.8557167945281451,0.8587478481471414
4726.0,5384.0,5634.0,0.8578689417317118,0.8587478481471414
4729.0,5426.0,5634.0,0.8551537070524413,0.8587478481471414
4685.0,5305.0,5634.0,0.8565682420696591,0.8587478481471414
4783.0,5433.0,5634.0,0.8643715550736424,0.8643715550736424
4792.0,5425.0,5634.0,0.8666244687584773,0.8666244687584773
4757.0,5392.0,5634.0,0.8628695809903864,0.8666244687584773
4726.0,5396.0,5634.0,0.8569356300997281,0.8666244687584773
4743.0,5356.0,5634.0,0.8631483166515015,0.8666244687584773
4795.0,5487.0,5634.0,0.8623325240535923,0.8666244687584773
4763.0,5388.0,5634.0,0.8642714570858284,0.8666244687584773
4781.0,5409.0,5634.0,0.8658878927827582,0.8666244687584773
4798.0,5454.0,5634.0,0.8654401154401153,0.8666244687584773
4758.0,5412.0,5634.0,0.8614883215643672,0.8666244687584773
4826.0,5460.0,5634.0,0.87001983053903,0.87001983053903
4786.0,5441.0,5634.0,0.8642889390519187,0.87001983053903
4809.0,5495.0,5634.0,0.8642285919669332,0.87001983053903
4772.0,5414.0,5634.0,0.8638667632150615,0.87001983053903
4826.0,5493.0,5634.0,0.8674395614271592,0.87001983053903
4837.0,5487.0,5634.0,0.8698858016365435,0.87001983053903
4797.0,5403.0,5634.0,0.8692579505300353,0.87001983053903
4817.0,5438.0,5634.0,0.8701228323699421,0.8701228323699421
4851.0,5468.0,5634.0,0.8738965952080706,0.8738965952080706
4859.0,5435.0,5634.0,0.8779474207245459,0.8779474207245459
4848.0,5510.0,5634.0,0.8700646087580761,0.8779474207245459
4814.0,5422.0,5634.0,0.8708393632416788,0.8779474207245459
4810.0,5413.0,5634.0,0.8708246582782656,0.8779474207245459
4854.0,5483.0,5634.0,0.8732571736979401,0.8779474207245459
4824.0,5460.0,5634.0,0.8696592752839373,0.8779474207245459
4816.0,5463.0,5634.0,0.8679823375687122,0.8779474207245459
4818.0,5448.0,5634.0,0.8695181375203033,0.8779474207245459
4806.0,5446.0,5634.0,0.8675090252707581,0.8779474207245459
4847.0,5494.0,5634.0,0.8711358734723221,0.8779474207245459
4843.0,5459.0,5634.0,0.8731632561074549,0.8779474207245459
4802.0,5449.0,5634.0,0.8665523775151133,0.8779474207245459
4804.0,5470.0,5634.0,0.8652737752161382,0.8779474207245459
4773.0,5407.0,5634.0,0.8645955982247985,0.8779474207245459
4800.0,5495.0,5634.0,0.862611195974481,0.8779474207245459
4825.0,5461.0,5634.0,0.8697611536728256,0.8779474207245459
4811.0,5474.0,5634.0,0.8662225423118473,0.8779474207245459
4771.0,5406.0,5634.0,0.8643115942028985,0.8779474207245459
4834.0,5470.0,5634.0,0.8706772334293948,0.877947420724546
