correct_preds,total_preds,total_correct,new_F,best_F
22644.0,23616.0,23451.0,0.9622028172605008,0.9622028172605008
22872.0,23347.0,23451.0,0.9774776699858968,0.9774776699858968
22999.0,23522.0,23451.0,0.9792433951418901,0.9792433951418901
23035.0,23449.0,23451.0,0.9823027718550108,0.9823027718550108
23083.0,23376.0,23451.0,0.9858842120998568,0.9858842120998568
23170.0,23438.0,23451.0,0.9882914969395806,0.9882914969395806
23169.0,23514.0,23451.0,0.986649632705206,0.9882914969395806
23183.0,23445.0,23451.0,0.9886983964517227,0.9886983964517227
23256.0,23457.0,23451.0,0.9915579432079816,0.9915579432079816
23256.0,23444.0,23451.0,0.9918328179976544,0.9918328179976544
23288.0,23444.0,23451.0,0.9931975690372108,0.9931975690372108
23277.0,23438.0,23451.0,0.9928554671671396,0.9931975690372108
23319.0,23454.0,23451.0,0.9943076431084108,0.9943076431084108
23328.0,23436.0,23451.0,0.9950732612451212,0.9950732612451212
23340.0,23449.0,23451.0,0.9953091684434968,0.9953091684434968
23332.0,23430.0,23451.0,0.995371259145496,0.995371259145496
23326.0,23458.0,23451.0,0.9945213072118356,0.9953712591454961
23362.0,23453.0,23451.0,0.9961623742111548,0.9961623742111548
23352.0,23453.0,23451.0,0.9957359713457274,0.9961623742111548
23365.0,23444.0,23451.0,0.9964815012261437,0.9964815012261437
23385.0,23442.0,23451.0,0.9973770072292242,0.9973770072292242
23394.0,23436.0,23451.0,0.9978885405336236,0.9978885405336236
23371.0,23430.0,23451.0,0.9970350461807556,0.9978885405336236
23391.0,23434.0,23451.0,0.9978031353311292,0.9978885405336236
23384.0,23437.0,23451.0,0.9974407097764886,0.9978885405336236
23392.0,23441.0,23451.0,0.9976968352810714,0.9978885405336236
23409.0,23441.0,23451.0,0.9984219056555488,0.9984219056555488
23398.0,23442.0,23451.0,0.9979314609856482,0.9984219056555488
23400.0,23442.0,23451.0,0.9980167615635596,0.9984219056555488
23407.0,23439.0,23451.0,0.998379185327362,0.9984219056555488
23408.0,23441.0,23451.0,0.9983792544570502,0.9984219056555488
23411.0,23441.0,23451.0,0.9985072080525462,0.9985072080525462
23413.0,23462.0,23451.0,0.9981455033785944,0.9985072080525462
23409.0,23444.0,23451.0,0.9983580339055336,0.9985072080525462
23411.0,23442.0,23451.0,0.9984859147420724,0.9985072080525462
23412.0,23441.0,23451.0,0.998549859251045,0.998549859251045
23415.0,23436.0,23451.0,0.9987843112163284,0.9987843112163284
23417.0,23444.0,23451.0,0.9986992216654228,0.9987843112163284
23417.0,23442.0,23451.0,0.9987418164758066,0.9987843112163284
23416.0,23443.0,23451.0,0.9986778692370026,0.9987843112163284
23412.0,23438.0,23451.0,0.9986137473607885,0.9987843112163284
23420.0,23442.0,23451.0,0.9988697673426736,0.9988697673426736
23420.0,23440.0,23451.0,0.9989123712439488,0.9989123712439488
23420.0,23440.0,23451.0,0.9989123712439488,0.9989123712439488
23419.0,23437.0,23451.0,0.998933629073537,0.998933629073537
23416.0,23438.0,23451.0,0.9987843630702296,0.998933629073537
23424.0,23441.0,23451.0,0.9990616736330292,0.9990616736330292
23425.0,23443.0,23451.0,0.9990617136520664,0.9990617136520664
23420.0,23438.0,23451.0,0.9989549787796711,0.9990617136520663
