correct_preds,total_preds,total_correct,new_F,best_F
21320.0,23187.0,23451.0,0.9142759123461556,0.9142759123461556
21947.0,23346.0,23451.0,0.9379661089386072,0.9379661089386072
22326.0,23526.0,23451.0,0.9505076952551248,0.9505076952551248
22486.0,23350.0,23451.0,0.9609196384692632,0.9609196384692632
22712.0,23437.0,23451.0,0.9687766592731616,0.9687766592731616
22805.0,23421.0,23451.0,0.9730756101723844,0.9730756101723844
22944.0,23466.0,23451.0,0.9780676513843596,0.9780676513843596
22980.0,23481.0,23451.0,0.9792891843518282,0.9792891843518282
23010.0,23455.0,23451.0,0.9811111584871872,0.9811111584871872
23070.0,23431.0,23451.0,0.9841730301608292,0.9841730301608292
23118.0,23484.0,23451.0,0.985107062959412,0.985107062959412
23144.0,23474.0,23451.0,0.9864251465103888,0.9864251465103888
23159.0,23469.0,23451.0,0.9871696504688832,0.9871696504688832
23190.0,23449.0,23451.0,0.988912579957356,0.988912579957356
23208.0,23454.0,23451.0,0.9895746722097858,0.9895746722097858
23228.0,23477.0,23451.0,0.9899420388680532,0.9899420388680532
23239.0,23451.0,23451.0,0.9909598737793698,0.9909598737793698
23262.0,23458.0,23451.0,0.991792619753139,0.991792619753139
23277.0,23437.0,23451.0,0.9928766422112268,0.9928766422112268
23275.0,23462.0,23451.0,0.9922622727175836,0.9928766422112268
23297.0,23447.0,23451.0,0.9935178472429528,0.9935178472429528
23301.0,23434.0,23451.0,0.993963954356404,0.993963954356404
23320.0,23453.0,23451.0,0.9943714821763602,0.9943714821763602
23332.0,23436.0,23451.0,0.9952438842323033,0.9952438842323033
23324.0,23434.0,23451.0,0.9949450783832782,0.9952438842323033
23326.0,23434.0,23451.0,0.99503039351605,0.9952438842323033
23356.0,23447.0,23451.0,0.9960339460104908,0.9960339460104908
23358.0,23448.0,23451.0,0.9960979978251135,0.9960979978251135
23361.0,23440.0,23451.0,0.9963958968672026,0.9963958968672026
23361.0,23441.0,23451.0,0.9963746481276125,0.9963958968672026
23369.0,23436.0,23451.0,0.9968221468637364,0.9968221468637364
23377.0,23444.0,23451.0,0.9969932828659772,0.9969932828659772
23382.0,23444.0,23451.0,0.9972065252159078,0.9972065252159078
23389.0,23435.0,23451.0,0.997696540545152,0.997696540545152
23390.0,23436.0,23451.0,0.9977179175464416,0.9977179175464416
23387.0,23440.0,23451.0,0.9975048516772942,0.9977179175464416
23389.0,23436.0,23451.0,0.997675261799646,0.9977179175464416
23393.0,23443.0,23451.0,0.9976969335096172,0.9977179175464416
23392.0,23433.0,23451.0,0.9978670761880386,0.9978670761880386
23397.0,23441.0,23451.0,0.9979100912735648,0.9979100912735648
23401.0,23442.0,23451.0,0.9980594118525152,0.9980594118525152
23405.0,23442.0,23451.0,0.998230013008338,0.998230013008338
23403.0,23441.0,23451.0,0.9981659984645568,0.998230013008338
23406.0,23446.0,23451.0,0.9981875173252022,0.998230013008338
23405.0,23443.0,23451.0,0.9982087260630358,0.998230013008338
23410.0,23442.0,23451.0,0.9984432644531168,0.9984432644531168
23408.0,23440.0,23451.0,0.9984005459469834,0.9984432644531168
23409.0,23442.0,23451.0,0.9984006141641608,0.9984432644531168
23411.0,23441.0,23451.0,0.9985072080525462,0.9985072080525462
